연번,요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
129,평일,3,309,지축,상선,19.4,14,11.7,18.7,16.1,25.5,18.7,15.9,18.5,11.5,14.8,17.5,18.2,18.6,22.6,22.3,24.6,23.7,29.8,34.4,36.7,33.4,48.5,46.6,61.8,111.4,104.1,83.9,66.1,38.2,44.8,46.2,34.2,37.8,41.6,32.9,32.9,32.5,
130,평일,3,309,지축,하선,39,34.3,58.1,91.6,96.6,113.2,77.9,78.7,45.2,46.1,42,41.7,32.5,34.3,32,26.9,29.2,22.6,24.1,23.3,23.7,24.5,30.5,29.8,29.4,30.4,27.7,18.1,15.3,10.4,11.5,10.9,8.3,9.8,10.2,6.7,4.7,1.8,2.9
131,평일,3,310,구파발,상선,20.6,12.2,7.9,9.5,13.6,14.1,9.5,7.8,11.1,8,8.9,10.2,13.1,11.3,23.4,22.2,18.7,13.2,23.3,27.3,37,35,26.1,48.5,52.9,59.4,55.7,49.2,35.7,28.9,24.1,29.7,26.4,23.2,23.3,27.6,10.7,8.8,0
132,평일,3,310,구파발,하선,16.5,26.4,41,62.6,66.1,82.1,64.2,43.8,42.1,42.6,37.6,36.5,23.2,32.9,28.9,33.5,26.6,21,18.4,23.1,30.5,25.4,25.8,18.2,27.1,18.3,17.9,11.2,9.4,10.2,8.4,8.5,10.2,9.9,8.8,7.6,3.4,1.4,3
133,평일,3,311,연신내,상선,21.2,14.5,9.8,11.4,15.8,17.5,10.6,10.8,13.1,10.9,11.6,13.2,16.6,18.8,23.2,27,23.8,21.9,24.9,35.3,43.5,41.4,38,52.8,62.3,71.8,77.6,51.4,44.8,34.8,35.6,30.6,33.2,28.7,35.2,27,18,8.5,3.7
134,평일,3,311,연신내,하선,24.4,31.7,43.3,64.6,78,91.1,73.1,56.9,46.1,42.9,48.6,34.2,26.8,34.7,31.4,37,26,24.4,17.2,23.6,29.1,28.9,22.3,17,21.4,15.9,15.7,12,8.5,7.9,8.1,8.1,9.3,8.9,7.9,7.2,3.4,1.5,2.7
135,평일,3,312,불광,상선,19.6,14.9,10.6,12.3,16.9,18.6,12.1,11.9,14.8,12.8,13,16.4,19.4,22.2,28.6,30.5,28.5,26.1,30.3,43.5,54.2,49,49.1,69.4,78.8,94.3,98.8,68.6,59.1,44.5,45.1,38.6,42.8,38.3,44.7,31.7,25.2,12.3,7
136,평일,3,312,불광,하선,32.9,35.3,50.7,69.5,95.2,110.3,87.1,67.5,57,46.4,54.2,38.9,34.2,35.2,35.3,42.9,30.8,28.6,21,26.2,32.6,33.3,25.2,20.3,24.8,20.3,18.2,14.5,10.1,9.4,9.5,9.4,11.1,10,9.4,8.6,5.1,1.8,2.6
137,평일,3,313,녹번,상선,17.4,11.6,8.8,11.4,15.4,15.6,11.4,11.6,14,12.4,12.5,15.8,19,21.9,29.9,28.7,27.5,26.4,31.2,47.6,55.1,48.2,50,71,81.1,96.2,101.1,70.8,57.8,45.3,47.2,38,43.2,39.6,45.2,33.2,26.9,13.3,8.6
138,평일,3,313,녹번,하선,38.4,40.2,58,80.7,107.9,127,97.3,76,66.7,51.7,58.1,40.3,39.2,37.9,38.1,45.8,32.8,30,22.1,27.1,32.7,34.8,25.8,20.6,25.2,21.8,17.3,15.2,10.2,9.6,9.6,9,10.5,9.4,9.2,8.1,4.9,2.2,2.3
139,평일,3,314,홍제,상선,15.9,11.1,8.4,10.6,14.2,14.9,11.4,11.6,13.6,11.8,13,16.6,19.8,22.6,31.2,30.7,27.4,28,33.6,50.7,58.9,52.7,53.9,90.9,92.7,105.3,109.3,79.9,64.7,51.6,51.3,45,46,44.4,51.1,37.3,30.7,15.3,10.4
140,평일,3,314,홍제,하선,43.9,42,57.1,84,114.9,141.5,104.2,83.2,71.3,58.8,61.3,44.4,41.9,37,44.3,49.6,39.5,30.4,25.4,27.2,35.4,37.8,31,21.6,28.6,22.9,18,15.1,10.3,9.9,9.5,10,11,9.6,8.7,8.8,4.7,2.2,2
141,평일,3,315,무악재,상선,13.9,11.2,8.1,10.8,13.5,14.8,12.1,12.2,15.1,12.5,14,18.3,21.1,23.7,33.2,32.5,29.2,30,35.9,56.3,63.7,57.2,57.6,97.5,99.9,113.3,114.4,86.9,69.1,55.2,54.3,50.1,49.2,52.4,53.5,38.2,31.3,14.1,12.1
142,평일,3,315,무악재,하선,45.1,43,58.5,86.3,116.8,141.7,113.9,86.3,74.1,61.7,62.6,45.4,43.2,38.6,44,50.2,40.3,30.9,25.8,27.7,35.6,38,33,21.1,28.6,23.3,18.7,14.8,10.3,9.7,9.8,10.1,11.6,9.6,8.6,8.8,4.7,2.1,1.9
143,평일,3,316,독립문,상선,13.4,10.4,8.3,10.8,13.4,14.9,12.1,13.2,14.5,12.6,14.1,18.4,21.5,24.1,33.2,33.6,29.5,31.1,37.5,62.8,61.7,60.3,58.9,99.3,101.9,115.4,117,89.5,71.1,56.6,55.9,51.1,50.8,53.9,55.3,40.9,28.5,14.7,12.9
144,평일,3,316,독립문,하선,31.5,44.3,59.2,86.7,113.3,142,114.5,90.2,72.5,61.9,63,49.1,41.8,39.3,44.9,51.2,43.3,31.2,27.8,26.8,37,39.7,34,21.8,29.6,24.6,19.1,15,11.5,10,10,10.3,11.6,9.8,8.7,8.9,4.7,2,1.8
145,평일,3,317,경복궁,상선,13.7,9.5,8.6,12,14,16.1,12.5,13.6,14.8,13.4,15,19.7,21.5,26.6,35.3,34,29,31.8,39.1,62,62.2,59.6,66.3,103.9,102,118.8,114.6,90.6,72.2,59.4,54.4,51.9,51.8,54.9,57,41.8,29.3,15.4,7.8
146,평일,3,317,경복궁,하선,32.2,42.4,55.5,82.5,110.9,133.1,111.6,85.6,73,61.4,64.5,54.5,45.2,45.5,47.2,59.5,50.8,39,36.4,36.6,49,57.4,50.2,35.2,41.1,43.3,28.9,22.8,16.3,15.1,14.3,17,18.2,14.8,13.5,12.2,6.1,2.5,1.7
147,평일,3,318,안국,상선,14.4,11,10.6,15.9,19.8,28.3,27.9,27,28.6,22.7,24.7,29.6,31,35.3,46,42.7,35.6,36.8,43.9,65.8,65.5,60.6,67.9,100.3,104.5,112.2,114.3,89.8,68.2,58.7,52.8,51.2,52.1,53,57.6,42.3,29.7,15.6,8.1
148,평일,3,318,안국,하선,31.7,40.4,52,76.5,98.8,125.3,100.4,80.4,72.4,59.9,63.5,53.7,46.3,49.2,49.2,64.5,57.7,50.5,42.1,46.3,61.5,77.1,64.7,47.3,58.2,65.6,39.4,31.7,22.6,20.9,19.2,24,22.9,20.3,16,13.9,8.1,2.9,1.6
