요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
평일,3,309,지축,하선,43.1,36.9,60.4,94.3,97.1,117.9,79.5,82.0,46.2,46.8,40.8,41.1,32.6,33.5,32.4,28.2,30.6,23.6,25.9,24.7,26.1,25.9,31.6,29.0,29.0,31.7,26.8,19.9,19.2,12.2,12.2,12.3,8.3,9.7,10.5,6.8,5.2,1.7,2.9
평일,3,310,구파발,하선,18.6,28.2,43.0,63.7,69.0,88.1,60.0,45.5,42.6,43.5,37.3,35.9,24.7,32.3,29.6,34.6,27.9,22.1,19.8,23.9,33.8,27.1,26.9,18.7,26.9,19.2,17.5,12.2,11.6,11.8,8.8,9.6,10.8,9.5,9.1,7.6,3.7,1.3,3.3
평일,3,311,연신내,하선,27.0,34.7,44.3,65.0,83.0,96.2,67.2,59.0,45.3,43.7,47.3,34.8,27.4,34.5,31.1,37.9,27.7,25.3,18.7,24.8,32.1,31.2,23.4,18.1,21.5,16.5,16.7,12.7,10.0,9.8,8.2,8.8,9.8,8.3,8.0,7.0,3.4,1.4,2.8
평일,3,312,불광,하선,36.1,38.1,52.4,69.6,100.2,116.5,80.6,69.4,55.8,47.1,52.7,39.3,34.6,34.9,35.7,42.9,32.2,30.0,22.4,27.0,35.8,35.7,26.5,22.0,24.1,21.8,19.6,15.2,11.8,11.3,9.6,10.3,11.7,9.5,8.8,8.2,4.9,1.7,2.7
평일,3,313,녹번,하선,42.3,42.8,59.6,80.3,113.0,129.2,95.1,77.8,65.3,52.1,56.3,40.8,39.5,37.7,38.2,45.7,34.3,31.3,23.3,27.8,36.0,37.3,27.3,22.3,25.1,23.2,18.4,16.3,11.5,11.7,9.9,9.9,11.1,8.7,9.2,7.6,4.5,2.3,2.4
평일,3,314,홍제,하선,48.0,44.2,57.9,83.8,120.2,143.9,101.5,84.6,69.6,58.9,60.3,44.2,42.0,36.3,45.0,49.2,41.3,30.9,27.0,27.1,38.1,40.0,31.7,23.8,28.8,24.4,19.0,16.2,11.5,12.1,9.9,10.8,11.6,8.9,8.4,8.7,4.3,2.1,2.1
평일,3,315,무악재,하선,49.3,45.1,59.3,85.9,121.8,144.4,112.2,87.2,72.7,60.7,61.7,45.2,42.5,38.4,44.7,50.1,41.7,31.5,27.3,27.4,38.5,40.1,33.8,24.5,27.7,24.7,20.1,15.6,11.5,12.2,10.1,10.9,12.4,9.0,8.4,8.7,4.3,2.0,2.0
평일,3,316,독립문,하선,34.4,46.9,59.8,85.9,117.5,144.3,112.4,88.7,74.3,61.1,62.3,49.4,41.2,39.0,45.6,51.6,44.3,31.5,29.5,26.7,38.9,42.6,34.7,25.3,28.9,26.0,20.5,15.8,12.8,11.9,10.3,10.9,12.3,9.2,8.5,8.8,4.3,2.0,1.8
평일,3,317,경복궁,하선,34.8,44.1,57.2,81.7,114.8,136.4,108.8,84.7,73.2,62.4,63.4,54.2,45.7,44.9,48.4,60.5,52.7,39.5,36.9,37.7,50.6,59.4,49.3,37.4,40.2,44.3,29.7,22.9,17.5,17.5,15.6,17.8,19.4,14.5,13.2,12.1,5.8,2.4,1.7
평일,3,318,안국,하선,34.3,42.2,53.0,75.8,102.1,128.1,97.8,80.1,71.1,61.4,62.5,54.3,46.1,49.3,50.4,64.7,59.4,51.1,42.4,48.1,62.7,80.0,63.5,51.9,55.5,64.8,41.7,31.8,23.0,24.0,20.2,24.6,24.5,20.0,15.8,13.9,8.3,2.8,1.6
평일,3,319,종로3가,하선,28.1,33.4,41.4,60.2,79.7,95.7,83.4,65.4,55.6,50.3,48.3,44.0,37.8,39.2,40.7,54.1,50.6,44.2,36.9,43.5,50.0,70.3,59.8,45.4,47.9,60.8,40.6,29.5,20.7,21.0,19.0,22.0,22.5,19.3,16.8,13.4,9.7,3.1,2.2
평일,3,320,을지로3가,하선,24.3,29.5,31.8,47.2,59.9,75.0,65.4,54.9,49.6,44.8,42.9,40.7,35.7,35.8,37.7,51.9,48.8,42.9,36.6,42.1,49.4,68.3,58.6,47.5,51.3,68.2,46.2,32.1,22.4,22.6,21.4,24.1,25.0,24.9,18.4,16.3,12.5,4.2,2.8
평일,3,321,충무로,하선,22.8,35.5,35.6,54.3,64.4,77.9,71.0,63.3,54.6,50.8,46.3,42.5,37.3,37.4,40.6,53.8,56.4,47.6,36.3,46.9,51.8,73.2,62.5,50.6,54.5,70.8,52.4,34.4,25.7,21.7,21.9,24.9,25.5,28.0,19.3,17.5,12.7,4.7,2.8
평일,3,322,동대입구,하선,22.8,33.8,34.5,52.5,61.5,74.2,61.7,61.6,49.1,44.3,41.4,41.3,31.9,35.9,38.4,46.1,57.0,47.6,37.4,47.6,51.0,74.3,65.4,52.7,55.7,72.5,54.0,36.0,26.3,23.2,23.5,26.4,26.7,30.0,20.2,17.9,14.9,5.3,2.6
평일,3,323,약수,하선,30.0,39.5,40.1,63.5,70.9,92.8,74.6,73.8,56.8,50.2,45.8,46.3,36.3,39.6,42.3,49.8,63.2,51.5,40.3,51.5,52.4,73.3,72.3,57.7,52.9,77.5,59.1,38.0,27.7,24.7,24.4,27.5,27.8,32.2,23.8,20.3,16.0,5.8,3.8
평일,3,324,금호,하선,33.2,42.5,38.3,63.4,73.8,95.8,78.8,73.7,62.1,48.6,46.4,47.1,36.6,39.9,42.3,50.0,62.7,51.4,40.1,51.1,51.5,69.8,73.0,56.7,51.9,75.4,57.0,36.6,28.4,24.0,23.6,26.3,25.0,31.4,22.6,19.1,15.0,5.5,3.5
평일,3,325,옥수,하선,37.6,46.6,42.7,69.3,80.5,107.7,88.8,85.5,69.0,52.5,53.8,51.8,39.9,42.4,45.9,53.4,66.8,53.9,44.7,49.5,54.1,72.3,75.9,58.1,53.4,75.7,58.4,38.0,28.8,24.1,23.7,26.3,25.1,31.3,22.6,19.4,16.1,5.6,4.6
평일,3,326,압구정,하선,16.4,41.1,39.6,64.9,73.0,94.8,76.2,68.1,58.2,45.3,47.9,48.2,38.6,39.9,43.6,47.4,64.0,53.1,47.4,51.9,54.8,77.1,78.5,59.9,56.1,80.5,66.4,44.2,33.9,30.1,27.3,28.4,29.5,35.9,25.1,20.7,16.3,5.7,4.1
평일,3,327,신사,하선,15.1,34.2,32.6,46.5,56.5,73.4,60.9,46.5,40.4,35.3,35.9,39.1,32.3,35.5,34.6,41.5,54.8,45.2,39.3,42.8,45.7,64.2,67.1,55.1,47.8,71.8,58.7,43.7,31.7,29.9,26.8,29.3,29.7,40.7,25.3,20.8,16.0,5.7,3.7
평일,3,328,잠원,하선,15.4,33.5,32.6,46.9,57.7,74.5,64.7,46.8,41.0,36.0,36.7,39.8,32.9,36.2,35.0,42.0,54.9,45.4,40.5,41.9,45.9,62.6,69.0,55.8,48.9,66.4,60.7,42.9,31.4,29.5,25.5,29.6,29.3,40.2,25.5,20.6,15.8,7.3,3.5
평일,3,329,고속터미널,하선,17.8,40.3,37.9,60.0,78.3,91.0,98.2,56.1,55.2,43.1,39.4,42.5,36.0,37.4,37.9,45.0,59.3,50.4,41.8,43.6,45.3,62.7,70.7,56.8,50.8,65.9,61.0,40.5,36.1,29.8,28.5,28.3,30.4,37.9,25.4,20.4,15.9,7.6,4.4
평일,3,330,교대,하선,21.7,40.5,36.1,51.1,64.9,89.2,77.2,45.2,38.1,29.6,28.3,31.9,26.7,26.3,29.8,35.0,44.1,41.2,34.7,35.8,37.1,52.5,61.1,48.1,42.9,56.7,52.7,35.2,28.8,25.4,25.0,24.8,26.6,36.6,23.3,18.2,15.8,6.8,3.6
평일,3,331,남부터미널,하선,18.3,31.9,30.5,42.9,56.4,66.5,54.7,35.3,28.8,23.6,22.2,26.8,22.5,22.8,25.0,29.6,36.7,35.2,30.6,30.0,31.2,43.7,54.8,45.8,40.4,57.8,48.2,32.9,28.5,24.6,23.1,23.5,28.4,31.4,21.8,16.5,14.3,5.9,3.0
평일,3,332,양재,하선,8.0,21.7,19.3,25.2,34.0,35.9,30.6,18.1,17.1,16.5,15.4,18.8,18.4,18.4,19.4,22.9,28.0,28.7,25.1,26.0,26.6,37.8,47.7,46.2,37.9,54.5,47.8,31.0,26.6,23.2,22.3,23.5,25.3,29.3,19.2,15.7,12.9,5.3,2.1
평일,3,333,매봉,하선,8.6,19.5,17.5,23.1,31.0,29.5,21.9,15.4,14.8,14.0,14.7,17.1,16.8,18.4,17.9,21.1,26.2,27.3,25.4,25.8,25.6,37.9,46.9,46.4,37.9,55.6,45.7,33.5,25.1,22.6,23.8,23.0,25.0,27.0,21.4,15.0,12.2,4.9,2.7
평일,3,334,도곡,하선,7.8,17.5,15.7,20.5,26.9,26.8,19.8,12.0,11.9,11.4,12.3,14.2,15.1,14.8,15.4,18.6,22.8,23.4,21.7,22.6,21.4,31.0,42.0,40.8,32.4,44.4,42.1,28.8,23.0,19.2,20.5,18.6,21.8,23.8,18.7,15.1,10.4,5.8,3.3
